72,17737128,28840,584,17683864,594064,17992,432,29016,21344,872,256,920,520,560,328,17757936,616664,12832,464,624256,116600,7648,720,13944,10728,408,224,784,664,440,360,30584,10560,840,392,8328,4624,712,472,528,760,552,312,256,456,16,32,800,392,496,312,776,264,512,32,280,512,56,16,296,0,0,0
17714368,792,17765744,33944,616048,17795320,627208,11640,13048,18848,11552,512,544,512,448,400,562880,17740112,586336,10504,86704,596320,123592,8776,4120,11288,3960,480,464,392,392,336,10968,21096,7696,4040,720,11184,4232,544,376,528,464,240,136,176,144,160,424,416,464,328,344,312,408,216,144,280,104,32,0,0,0,0
30552,17788224,936,17801840,21312,625344,17780616,627288,744,13072,19424,11792,912,504,1096,1392,12144,598648,17768120,598760,1616,111448,611432,117368,592,7848,15096,8048,880,1024,1328,1312,640,11064,15176,13264,1192,768,24824,5192,224,1200,1152,1096,32,800,232,920,992,432,1144,1136,952,288,1112,328,88,736,496,224,56,16,88,0
728,32728,17762016,864,768,19864,588576,17702464,456,640,9384,20832,88,288,376,584,672,10016,629136,17665488,408,944,122808,565112,304,512,512,9248,72,264,456,560,256,656,4352,20608,256,536,6656,4208,128,352,480,512,16,72,120,224,128,232,424,552,128,192,384,408,16,176,176,256,56,0,16,88
17683408,580696,20760,616,144,17764696,33832,1080,17719288,628208,9592,520,33168,4968,1024,880,577072,120752,18696,728,17730352,620104,24008,1528,577056,150576,640,416,16176,9016,1016,776,27992,11784,1080,320,24808,19768,1016,640,12024,9840,904,664,640,928,200,88,904,344,456,312,1024,408,768,32,480,840,496,32,744,128,104,0
588568,17792368,597688,16072,17777296,1008,17804160,33600,629760,17809496,616944,7544,12808,19048,5696,872,111248,583936,125112,5096,614152,17852016,626944,19360,119216,656504,105992,5016,10464,9544,792,808,680,26496,14152,480,19208,30952,14296,5176,5080,22544,792,728,552,720,376,408,648,392,608,520,688,424,688,240,320,704,352,216,472,184,248,0
16496,591104,17752528,557328,43072,17714200,864,17758128,26520,625104,17821344,587896,784,23016,19944,19344,936,128664,623248,90968,4984,607288,17828064,628928,12992,163920,603328,115456,680,9128,13088,13464,568,5144,18184,4752,816,9792,25944,18208,608,5648,5840,984,272,424,488,488,312,344,384,352,312,392,688,352,144,432,360,312,72,120,280,128
496,12248,632176,17668024,784,16880,17751952,864,664,16944,598184,17681616,424,640,8240,30808,384,5184,146752,615000,440,5600,611096,17772016,576,12376,86784,584728,376,632,14840,21752,152,528,1488,12016,256,528,11912,19648,264,592,4848,11696,216,240,520,528,160,176,336,568,160,248,464,424,16,296,304,432,56,16,280,416
41024,10728,880,640,17712280,646552,19352,528,144,17796304,28016,1160,17728816,611376,18432,744,21368,8040,752,504,584408,104256,9040,816,17706624,600680,5152,1064,630392,101712,792,496,4096,488,472,208,12736,4632,576,360,25896,23576,568,320,21320,544,472,200,320,200,16,16,520,392,200,16,464,392,296,16,464,304,296,0
25536,31352,17944,528,578880,17755936,598624,24248,17826128,936,17805424,28072,602560,17836056,647608,25056,6024,21616,20576,424,120328,575632,121776,6608,619616,17869712,618656,13424,177328,615136,106472,11536,464,5056,1536,360,1680,14408,6216,1568,14184,24448,6560,1616,10032,10584,808,1616,1272,264,608,928,1440,360,1392,176,352,1512,1200,280,1416,288,968,200
936,19776,27176,7240,23560,588672,17831096,693368,37488,17780056,936,17831312,16784,586672,17787976,609216,776,9496,19720,576,5304,81328,660472,139568,27424,566136,17782896,662408,12792,117784,617904,134552,392,576,880,488,816,9176,13624,9328,672,13576,26088,17248,864,952,9168,16904,432,160,248,480,216,376,664,304,200,680,624,408,536,320,608,616
336,536,23416,38112,672,8216,579448,17729472,800,20536,17753056,792,656,8008,599496,17716792,448,488,8120,11152,504,744,109056,600272,608,19112,555080,17722072,552,1016,101280,605992,144,464,544,448,296,584,4664,21848,320,608,12224,27272,192,496,608,14096,128,184,232,384,184,320,448,392,72,328,392,440,128,224,432,456
1152,552,776,128,24576,15888,936,680,17733968,600192,16528,536,216,17746256,23256,1624,1016,976,312,144,9080,6936,1160,1080,591240,107832,1248,888,17697656,583640,13648,1512,296,168,672,88,1008,560,896,352,12328,7544,1064,784,21216,7280,1008,792,496,16,88,88,728,200,512,32,408,792,704,88,976,384,768,0
528,536,544,328,12880,15304,14704,576,602960,17768592,579856,11488,17731216,864,17762248,39616,408,488,464,200,704,11256,5008,504,115424,618576,87088,8104,608176,17754488,602152,12616,200,288,392,160,520,4648,560,472,8352,13024,4880,592,15504,19144,8336,552,72,96,168,72,184,280,248,120,328,408,440,296,520,472,504,416
528,384,688,336,856,5192,15072,20488,8720,616160,17821280,623416,25776,17727344,936,17730488,376,672,384,248,512,600,14880,904,4952,107672,565120,136840,15296,577280,17818520,579312,32,240,320,168,568,440,632,392,648,888,4984,752,880,8160,19816,6896,56,0,0,32,88,184,432,16,32,552,576,280,504,352,696,440
408,432,848,584,760,936,11840,32944,736,20456,605120,17766320,1168,34664,17722256,792,200,648,464,456,328,608,16208,7800,624,13832,89608,605640,912,26544,595080,17755000,88,224,536,312,504,392,728,840,352,1016,7632,10616,816,960,12664,26320,128,56,56,272,144,168,568,200,88,608,576,672,328,304,776,832
17800080,619272,16968,520,599912,127688,824,472,26200,5312,1096,792,816,448,840,160,72,17753008,24256,536,17773648,616904,19224,872,27128,15168,832,840,880,768,864,568,17736304,606280,4952,472,650240,119872,1008,408,11048,9792,608,336,584,696,336,200,10520,864,600,224,13528,656,576,160,568,784,344,88,592,192,224,56
625536,17706608,607192,19304,153328,617224,119048,9112,8984,14248,9904,568,1096,488,1136,1016,17801608,936,17746048,19960,639728,17824984,637664,13528,21776,30032,9136,552,1136,1128,1136,1024,613984,17837960,605080,18384,114976,649824,108472,5408,9824,17712,1296,1176,440,1024,432,952,10944,31272,12088,1336,10712,9272,13304,504,496,1240,1144,368,888,168,672,56
14064,627080,17828792,635800,14072,130584,629272,111008,656,14832,18072,16544,232,416,448,488,36160,17774472,864,17790088,18552,624816,17875984,650096,744,30408,38288,29448,320,496,544,560,9968,583712,17730104,626032,9472,107408,613536,126736,632,33616,37568,4888,208,368,416,464,760,19856,30160,22784,5064,13184,31168,19976,384,600,584,568,184,248,392,216
512,19176,578608,17738928,512,4264,82328,630432,256,480,640,17000,144,176,224,496,656,27792,17794480,936,696,8384,597776,17807880,336,680,7816,21064,128,256,488,544,568,7640,574160,17727856,472,1272,116728,598144,136,704,4488,14536,72,128,256,432,264,712,9104,26888,336,704,944,11496,72,440,480,664,112,72,256,336
644064,91792,1008,424,17723120,620280,5416,488,623784,119352,5432,328,9416,696,416,192,17865648,584744,10440,352,72,17804848,19200,1448,17803648,666760,9608,464,26960,17040,488,248,573864,120592,5856,840,17706024,628008,10264,1256,600632,124904,840,424,16880,704,360,160,11400,544,600,312,36688,16880,744,360,20768,912,440,168,728,376,288,56
141040,616792,100928,696,615288,17857808,627256,10680,108056,608192,99456,592,5080,14312,656,512,648544,17787584,583536,6088,17812624,864,17870112,22184,614776,17846168,583080,10736,23360,24936,776,520,107104,602464,111168,5976,627088,17848048,547960,10568,108128,628584,124672,600,9696,5568,512,448,15432,18952,5744,584,23976,28992,10408,448,13960,19200,5256,352,392,392,392,248
10752,104784,639288,109624,15992,614184,17844656,625968,15376,139024,617168,108688,776,19696,25080,19560,11648,649048,17904272,611720,26328,17885072,936,17822744,21328,638840,17786680,648520,880,30904,41048,31232,6032,160120,635952,154624,17912,632088,17855040,620792,10816,124016,629688,127016,464,904,15440,10240,832,10472,6088,1024,848,24712,36640,10520,528,20392,6016,10312,648,432,736,536
