2,1177,294,10,1220,1192,201,8,201,224,38,8,37,7,36,32,1191,1189,168,8,1160,798,191,37,167,167,6,6,35,36,35,36,200,193,35,8,194,163,35,35,6,35,35,31,6,35,1,2,35,6,36,31,36,6,36,2,6,34,5,1,29,0,0,0
1169,22,1141,178,1134,1133,1111,170,166,195,168,7,8,7,7,8,1110,1132,1106,167,1004,1083,832,196,166,166,159,6,7,7,7,9,166,166,167,159,15,166,164,7,6,7,7,7,6,7,6,7,7,6,7,7,7,6,7,6,6,7,5,4,0,0,0,0
296,1131,26,1173,265,1189,1187,1105,14,224,197,167,37,8,36,36,231,1191,1129,1134,45,899,1162,1078,10,167,167,165,35,36,36,36,9,167,195,164,37,15,195,192,7,36,35,36,2,36,6,36,36,7,36,36,36,6,36,6,3,35,35,5,1,1,5,0
10,178,1167,24,17,172,1111,1102,13,10,167,166,3,7,7,7,10,178,1108,1104,11,19,950,1131,8,7,9,164,2,7,7,7,7,10,195,166,8,9,167,165,3,7,7,6,1,2,5,6,3,6,7,7,3,6,7,6,1,7,7,5,1,0,1,5
1220,1133,267,12,4,1230,247,19,1129,1190,201,11,197,168,38,38,1158,1029,176,14,1185,1132,202,49,1133,999,12,9,224,195,36,38,191,191,36,9,248,165,37,38,191,216,35,36,8,35,6,3,35,6,35,31,36,6,36,2,7,35,35,2,35,6,5,0
1192,1130,1191,174,1221,28,1168,176,1129,1185,1137,172,197,169,198,39,972,1191,999,167,1134,1129,1165,226,927,1104,734,165,224,195,36,37,13,167,193,8,223,167,193,189,189,193,39,36,8,36,6,8,35,7,35,36,36,7,36,7,6,35,8,7,35,6,6,0
201,1111,1187,1103,249,1166,24,1147,180,1163,1162,1105,15,169,168,196,18,1033,1109,710,177,1109,1162,1136,172,1030,1107,745,11,197,197,223,9,167,195,163,38,167,195,194,10,195,195,40,7,7,7,7,7,6,7,8,7,6,35,6,6,7,7,5,2,6,7,6
8,170,1109,1102,19,176,1140,24,16,206,1135,1105,15,10,168,196,9,171,885,1104,11,176,1136,1133,11,176,952,1105,9,11,196,196,6,8,42,166,7,9,167,193,8,10,166,165,8,7,8,7,7,6,6,7,7,6,7,6,1,7,7,5,1,1,7,7
201,166,14,13,1132,1132,180,11,4,1174,218,21,1166,1109,176,13,167,167,11,12,1136,709,176,17,1103,1106,171,24,1133,942,14,9,159,6,8,9,195,163,9,9,166,192,9,9,166,11,7,7,6,5,1,1,7,5,7,1,6,7,6,1,7,6,6,0
221,192,221,10,1190,1187,1160,203,1166,26,1194,203,1189,1130,1161,230,196,197,192,7,861,1129,866,222,1131,1129,1133,174,1066,1188,790,224,8,160,36,8,43,192,195,38,220,220,220,39,195,195,40,37,36,6,35,31,36,7,36,7,7,35,36,8,36,7,35,7
38,168,197,167,201,1139,1159,1132,218,1189,26,1170,240,1131,1185,1187,18,197,168,7,199,892,1191,1013,177,1132,1133,1131,203,837,1190,1063,8,8,37,7,39,168,195,195,11,196,195,194,38,42,218,194,36,6,7,36,8,7,36,7,7,35,36,7,36,7,34,35
8,7,167,166,11,172,1105,1105,21,206,1168,22,16,173,1111,1132,19,7,167,166,11,13,818,1135,11,176,1080,1102,10,22,890,1132,4,8,8,6,8,10,167,165,9,10,166,193,6,10,11,165,3,7,7,7,4,7,7,6,2,7,7,5,3,6,7,6
37,8,37,3,197,197,15,17,1165,1191,237,11,6,1174,269,48,38,37,8,4,195,166,39,45,1133,757,22,19,1184,1186,224,47,7,7,36,3,36,8,39,12,195,194,39,40,218,192,34,35,29,1,3,3,35,6,31,2,7,34,35,3,36,6,34,0
7,7,8,7,168,169,169,10,1109,1133,1136,173,1170,24,1140,206,9,8,7,7,13,167,168,8,768,1104,782,172,1134,1132,1134,196,6,6,8,7,8,160,9,10,166,194,166,10,166,166,162,7,2,5,7,2,7,6,7,6,6,7,7,7,7,6,7,7
36,7,36,7,38,198,168,168,178,1166,1185,1105,272,1132,26,1226,19,37,6,6,9,13,195,42,173,996,1105,916,208,1192,1187,1161,2,7,8,7,36,8,35,7,12,42,194,36,39,224,165,191,1,0,0,2,3,6,34,1,2,35,36,7,36,7,35,6
32,8,36,7,38,39,196,193,13,235,1189,1129,48,203,1221,22,10,38,7,7,9,9,196,224,10,177,922,1100,37,265,1189,1187,3,8,36,7,37,7,36,35,10,40,195,217,37,39,193,218,3,1,1,30,4,7,36,7,3,36,36,34,31,7,35,35
1194,1110,234,10,1163,978,18,9,167,198,20,19,38,9,19,5,2,1203,211,9,1223,1108,204,41,202,167,13,17,36,38,19,13,1099,1102,193,11,1160,773,36,9,168,222,9,11,9,35,10,5,221,11,9,8,194,10,8,7,6,35,7,3,35,7,7,1
1187,1129,1189,178,1042,1191,1027,171,167,197,199,9,37,8,37,38,1191,26,1140,179,1133,1129,1192,204,193,193,167,8,36,37,37,40,1130,1129,1158,168,986,1129,800,195,220,195,40,38,8,36,10,39,249,193,195,39,249,190,193,7,7,35,36,8,36,6,34,1
168,1104,1132,1108,176,999,1107,882,11,195,168,167,8,7,6,7,211,1134,24,1148,185,1103,1133,1137,14,166,166,165,6,7,7,9,177,1109,1130,1100,173,919,1129,965,10,167,166,165,6,7,6,8,11,166,168,166,163,166,166,163,6,7,7,6,7,6,7,6
8,167,1137,1104,14,167,720,1106,12,7,7,166,4,7,6,7,9,179,1139,26,18,174,1113,1134,16,10,167,164,3,7,7,7,9,182,1134,1108,8,25,760,1132,7,11,166,164,2,3,6,7,8,11,167,166,8,11,15,165,2,7,7,8,2,2,7,7
1161,998,45,11,1185,1140,177,11,1131,864,199,11,197,13,9,9,1221,1139,185,9,2,1150,247,52,1130,1108,167,10,223,195,7,12,1102,965,203,19,1159,1101,201,31,1130,1016,42,12,166,38,7,7,220,12,12,11,222,164,38,11,164,39,8,7,34,6,6,1
789,1080,906,19,1133,1132,1109,176,719,1132,892,13,166,167,13,9,1106,1132,1103,174,1139,24,1140,207,1106,1102,1082,169,166,195,13,10,860,1105,973,169,1132,1103,1129,172,790,1128,772,14,161,165,11,9,195,165,166,10,167,165,165,8,166,166,164,6,6,6,6,6
191,816,1163,944,202,1160,1159,1131,176,872,1189,815,41,168,195,196,204,1192,1130,1107,247,1132,26,1228,185,1129,1129,1127,38,224,225,250,173,810,1185,980,236,1130,1187,1156,179,1015,1183,1017,9,43,166,195,39,167,196,43,39,167,224,166,10,196,195,193,36,7,35,7
37,193,1078,1130,49,223,1132,1130,17,225,1022,1130,45,10,42,221,41,204,1134,1133,52,204,1223,24,18,203,1105,1129,38,41,224,250,11,176,1057,1130,38,211,1190,1184,12,205,945,1184,10,41,13,194,37,10,195,195,38,11,223,165,8,40,43,193,33,7,35,35
167,166,10,8,1136,937,172,11,1103,1136,177,11,1136,778,173,10,202,196,14,16,1133,1108,185,13,4,1144,213,24,1165,1136,168,11,166,13,14,22,1111,786,24,24,1103,1129,21,29,1099,964,13,8,7,6,10,7,165,160,9,10,165,13,10,11,193,6,7,7
167,166,167,7,999,1104,1027,176,1104,1132,1133,176,760,1102,1002,177,167,196,166,10,1108,1102,1132,206,1139,24,1108,178,1133,1132,1137,196,161,166,167,11,1004,1103,947,175,1103,1131,1131,176,948,1133,782,165,7,6,7,10,13,165,14,9,166,166,166,11,167,166,165,6
6,159,167,9,12,747,1105,965,171,1134,1134,1083,22,786,1103,938,13,167,166,167,167,1077,1132,1109,213,1107,24,1141,175,1134,1134,1108,7,167,168,15,171,968,1104,940,182,1132,1132,1106,177,1002,1074,944,7,6,7,9,9,165,166,14,8,167,167,165,9,166,166,13
6,6,165,164,9,165,732,1103,24,174,1134,1102,19,172,913,1104,17,8,165,164,10,169,1130,1132,24,178,1140,16,10,179,1136,1132,7,9,166,165,8,172,907,1100,12,184,1106,1128,10,27,924,1125,6,6,7,7,7,8,193,164,8,8,166,165,7,8,166,165
35,7,35,2,221,221,11,9,1132,1070,203,10,1184,1133,210,39,36,36,6,3,220,166,38,38,1162,1132,175,13,18,1228,239,40,7,7,36,5,224,167,38,17,1157,863,197,46,1186,1157,193,39,35,6,7,2,36,7,36,9,166,40,35,10,224,166,187,6
36,7,36,7,195,195,197,11,942,1190,824,22,1184,1129,1192,265,40,37,7,7,195,192,221,41,1131,1129,1133,179,1229,28,1163,258,8,7,36,9,198,169,198,43,1054,1184,813,206,1161,1187,1153,221,36,7,36,36,37,7,36,9,15,195,195,38,225,192,220,36
35,7,36,7,36,36,197,193,14,806,1190,887,227,1129,1187,1187,21,37,7,7,7,13,222,221,168,1132,1131,1133,239,1169,30,1225,13,8,36,7,37,169,197,197,175,1018,1135,829,210,1165,1157,1184,36,7,8,36,36,7,37,8,10,197,197,195,39,168,196,197
36,9,36,7,38,37,220,193,9,221,1059,1131,47,193,1158,1189,13,42,9,7,12,10,250,250,11,193,1104,1131,40,258,1230,10,8,13,39,8,41,13,44,197,14,233,968,1187,39,207,1160,1181,33,10,9,37,34,10,37,8,8,38,39,195,36,9,196,197
200,166,9,7,194,13,9,6,159,8,8,4,7,6,2,3,1099,1135,177,9,1100,860,173,11,166,161,7,7,7,8,13,7,6,1141,206,12,1166,1106,16,11,200,194,9,8,7,6,15,17,1166,1077,168,18,1134,852,166,9,165,14,7,8,7,6,7,3
196,166,167,10,194,167,167,8,6,160,8,8,7,6,7,8,1100,1132,1109,182,968,1107,797,176,13,166,167,9,7,7,8,13,1140,24,1135,176,1133,1103,1137,170,13,168,167,8,8,8,10,20,1137,1103,1103,174,1044,1106,800,167,165,167,15,8,7,7,8,8
35,167,195,192,36,193,195,39,8,36,37,8,36,8,8,36,193,1155,1129,1131,205,981,1189,1054,14,167,168,166,36,36,36,39,206,1135,22,1165,204,1130,1184,1188,10,196,222,44,8,36,8,39,236,1130,1157,1184,234,1052,1185,1020,9,196,196,219,36,7,36,35
8,159,164,166,9,8,163,166,9,8,7,6,3,7,7,7,11,168,1100,1106,19,169,972,1131,22,11,15,165,5,9,7,8,12,176,1171,10,13,176,1135,1130,13,13,195,166,4,9,6,9,12,178,1106,1132,11,175,952,1102,8,11,167,165,4,6,7,6
194,15,37,8,248,220,38,7,192,43,39,8,36,8,36,37,1155,985,173,8,1154,1129,233,40,1105,998,171,8,221,198,37,41,1163,1132,204,12,12,1167,261,53,1158,1185,197,40,221,219,10,47,1158,940,47,50,1186,1131,198,25,1129,993,196,9,248,13,36,6
163,166,15,9,165,167,167,9,163,195,168,10,8,160,8,7,757,1130,920,25,1099,1103,1133,214,786,1103,973,172,167,169,169,13,1106,1103,1133,176,1171,26,1131,183,1080,1134,1135,171,169,165,169,16,793,1103,891,179,1133,1103,1133,174,761,1136,787,14,168,167,167,8
35,164,195,167,37,193,195,167,9,195,195,167,39,9,35,36,36,790,1126,747,201,1126,1187,1188,26,966,1106,911,38,198,197,44,16,1134,1184,1130,264,1137,24,1190,201,1188,1185,1187,11,197,195,198,199,968,1154,857,206,1130,1186,1130,174,1026,1157,1021,38,162,195,43
35,7,192,165,38,189,194,190,9,38,195,165,12,10,7,35,9,195,966,1127,31,172,1159,1184,24,177,944,1102,17,43,197,197,11,170,1188,1127,53,185,1202,4,12,211,1162,1184,19,44,169,224,38,174,948,1183,41,176,1163,1127,10,198,769,1154,39,10,195,196
6,6,7,3,191,189,10,8,166,223,11,9,195,166,12,10,168,223,10,7,1128,796,179,12,1103,1103,182,12,1162,1057,175,14,200,13,10,13,1161,1083,203,21,26,1193,240,25,1191,1163,173,10,221,9,11,19,1165,760,18,18,1103,1133,169,23,1164,943,166,9
35,7,36,7,213,193,195,10,189,223,196,10,194,191,42,40,219,195,167,11,1007,1125,1007,205,1126,1128,1129,184,854,1186,1002,230,191,168,196,13,1185,1131,1190,213,1199,28,1187,267,1160,1185,1163,225,195,166,195,47,897,1108,967,178,1130,1186,1191,230,877,1131,789,222
35,7,35,7,35,39,195,166,9,223,195,166,39,166,194,195,9,40,166,166,42,762,1183,945,21,1126,1129,1104,197,819,1133,967,9,167,219,192,197,1130,1185,1159,242,1196,28,1219,203,1137,1158,1186,37,191,218,223,49,879,1184,946,179,1158,1188,1158,231,911,1133,975
31,7,36,6,36,36,40,165,9,39,194,190,40,10,36,220,11,38,165,164,12,14,1023,1184,29,176,1102,1125,46,206,822,1185,10,10,44,166,40,171,1189,1184,25,269,1228,6,39,240,1160,1185,36,9,190,196,41,173,900,1127,15,233,1162,1155,41,45,862,1158
6,6,2,1,8,8,7,8,166,195,38,6,221,166,39,37,9,8,6,2,166,161,9,10,1101,948,177,10,1186,1166,210,39,7,8,10,6,224,169,11,19,1194,1161,205,48,24,1192,207,38,6,6,9,5,168,168,12,17,1107,923,196,17,1160,1103,196,10
35,7,36,2,35,36,7,7,11,195,42,10,192,166,221,39,35,36,7,3,38,165,43,41,961,1128,1002,27,1160,1187,1160,207,6,8,36,9,224,167,197,44,1160,1185,1135,245,1198,26,1155,202,35,8,35,38,43,166,44,14,788,1135,1110,179,1187,1130,1190,197
1,6,6,5,6,6,7,8,7,40,221,11,34,162,165,193,10,10,6,6,7,11,166,13,13,782,1079,934,193,1158,1160,1163,15,10,8,6,10,169,197,169,173,1166,1161,1163,209,1165,22,1190,6,8,7,10,11,168,223,13,172,815,1164,947,234,1104,1158,1135
2,7,36,6,3,8,7,7,7,37,194,165,35,7,191,221,5,39,8,7,7,9,195,194,8,165,947,1124,39,224,1184,1181,17,20,39,9,47,16,198,223,12,230,1190,1187,38,204,1194,4,33,17,40,37,49,18,251,193,11,197,849,1159,39,200,1189,1157
35,7,36,3,35,35,7,7,6,36,36,3,29,2,1,3,218,249,11,8,217,192,39,37,7,7,7,6,35,36,36,33,1163,1134,233,12,1157,787,199,38,218,195,37,38,8,35,8,42,26,1165,267,48,1220,1131,227,13,225,219,38,9,36,7,36,31
6,6,7,6,6,7,6,6,5,6,6,7,1,5,0,1,11,196,166,11,12,165,167,10,6,6,6,6,6,7,7,10,1080,1103,1133,178,940,1105,973,174,9,166,194,9,6,8,8,19,1175,26,1134,183,1133,1104,1132,174,166,166,166,8,6,6,7,6
36,7,36,7,35,35,7,6,1,35,7,7,3,7,0,1,9,195,168,167,12,166,196,195,10,7,7,7,7,36,8,9,168,1105,1160,1104,47,891,1157,945,11,195,221,190,9,37,9,40,272,1138,28,1194,229,1106,1187,1105,12,196,196,166,37,7,35,36
31,7,36,7,31,36,8,7,1,31,36,7,3,2,2,30,8,39,166,166,11,10,43,195,7,10,9,7,2,36,36,37,18,174,1186,1131,50,179,847,1185,19,47,226,196,5,38,10,39,50,185,1200,8,39,182,1186,1128,18,49,198,221,34,9,38,37
36,7,36,3,36,36,7,7,7,36,8,4,35,7,3,4,194,249,163,8,219,167,39,38,165,13,9,7,36,37,36,34,1131,1034,231,11,1188,1132,206,41,1162,900,49,41,168,43,11,49,1220,1132,230,48,30,1164,267,22,1133,1186,202,12,224,168,38,37
6,6,6,6,6,7,6,6,5,7,7,7,6,6,6,7,10,193,166,11,164,165,167,11,160,165,165,8,7,7,7,10,852,1106,1058,175,1134,1103,1135,176,757,1108,877,173,168,166,168,18,1132,1104,1106,184,1176,28,1134,184,1106,1131,1105,170,167,166,168,9
36,7,36,7,36,36,35,7,7,36,36,7,31,7,34,36,8,193,166,15,38,165,221,220,9,14,166,190,36,36,37,37,166,793,1187,957,198,1132,1186,1158,18,970,1184,897,12,44,220,251,230,1129,1187,1188,272,1140,30,1164,175,1189,1186,1157,40,168,221,221
2,6,6,6,2,7,6,6,1,7,7,6,2,6,1,7,7,7,163,165,11,8,166,165,10,9,14,164,9,9,8,8,9,167,1017,1104,25,174,1135,1130,18,178,959,1132,17,14,13,196,13,174,1107,1131,22,186,1178,4,11,181,1108,1131,18,15,168,167
6,6,3,1,7,6,6,1,6,7,7,2,7,6,2,3,6,7,6,2,164,166,10,8,165,166,8,8,166,15,10,8,165,165,9,8,1134,761,174,10,1103,1135,179,15,1107,794,172,11,228,166,12,18,1134,1106,177,20,26,1166,237,23,1167,1108,170,9
34,7,35,7,35,35,7,7,7,35,35,7,34,7,35,36,35,35,7,7,39,166,196,40,13,166,167,8,40,195,197,38,14,167,196,11,996,1133,1028,198,1133,1186,1163,236,930,1135,821,197,222,166,196,49,1186,1130,1191,185,1172,26,1186,184,1188,1129,1187,201
5,5,35,7,35,8,7,7,6,36,36,7,35,7,36,36,7,36,7,7,8,164,195,43,10,166,167,166,35,195,197,39,7,15,196,167,196,781,1162,782,169,1191,1188,1165,196,1107,1161,859,38,166,196,198,202,1105,1186,1106,238,1195,28,1189,201,1135,1188,1166
1,4,5,5,2,7,5,5,1,8,7,5,3,7,7,34,3,8,6,8,7,6,193,193,11,11,165,165,10,38,195,195,8,8,222,165,9,14,1027,1159,23,233,1163,1158,17,179,960,1162,9,8,166,224,12,170,1160,1128,23,188,1203,2,10,182,1162,1132
